"Proper Name","Designation","HIP","Bayer ID","Constellation","Origin","Ethnic-Cultural_Group_or_Language","Reference","Additional info, e.g. constellation","Date of Adoption"
"Absolutno","XO-5","0","Lyn","Lyn","Absolutno is a fictional miraculous substance in the sci-fi novel Továrna na absolutno (The Factory for the Absolute) by influential Czech writer Karel Čapek.","fictional","2019 IAU100 NameExoWorlds","Lynx","17/12/2019"
"Acamar","HR 897","13847","θ1 Eri","Eri","From its sci-A name akhir al-nahr, ""the River's End"". Applied in medieval times, and reapplied in recent times","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Eridanus","20/07/2016"
"Achernar","HR 472","7588","α Eri","Eri","Arabic name آخر النهر (āḫiru ʾn-nahr) meaning, the End of the River; originally used for θ Eri that was considered the end of the river in the ancient star catalog (Almagest).The name was transferred to α Eri in Renaissance times when the constellation was extended south to this new terminus.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Eridanus","30/06/2016"
"Achird","HR 219","3821","η Cas","Cas","The proper name Achird was apparently first applied to Eta Cassiopeiae in the Skalnate Pleso Atlas of the Heavens published in Slovacia in 1950, but is not known prior to that.","Contemporary","--","Cassiopeia","05/09/2017"
"Acrab","HR 5984","78820","β1 Sco","Sco","Arabic name al-'Aqrab for the constellation Scorpius (""the scorpion"") (e.g. Al Sufi). Application of the transliteration ""Acrab"" specifically to the pair Beta1 and Beta2 Sco was made by Piazzi (1814) in the Palermo Catalog, and its use spread through the 19th century.","Arabic","Kunitzsch, P. (1959) Arabische Sternnamen in Europa. Wiesbaden: Harrassowitz. No. 3; 88; 108","Scorpius","21/08/2016"
"Acrux","HR 4730","60718","α Cru","Cru","< α Crucis","Contemporary","MacKworth, P.H. et al. (1938) ‘The Air Almanac: Discussion on the New Form of Nautical Allowance for Rapid Position Finding’, The Geographical journal, 92(2), p.137.","Crux","20/07/2016"
"Acubens","HR 3572","44066","α Cnc","Cnc","Applied with various spellings since medieval times, from the Arabic word al-zubana, ""the claw"", used in Ptolemy's Tetrabiblos in describing the stars α and ι Cnc. Otherwise, the same Arabic word was used for the ""claws"" of Scorpius.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cancer","20/07/2016"
"Adhafera","HR 4031","50335","ζ Leo","Leo","From. the sci-A name al-dafira, ""the Lock of Hair,"" for the Coma Berenices cluster. Wrongly applied to Leo in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Leo","20/07/2016"
"Adhara","HR 2618","33579","ε CMa","CMa","Applied in recent times from the Arabic asterism name al-(adhara, ""the Virgins"", for ε, δ, η and ο2 CMa. The significance of the name is unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Canis Major","21/08/2016"
"Adhil","HR 390","6411","ξ And","And","From the Arabic word al-dhail, ""the train of a robe or dress"", used in the Arabic Almagest in describing A and χ And, and transliterated in the Medieval Latin Almagest as adhil. This word was wrongly applied as a star name to ξ And in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Andromeda","21/08/2016"
"Ain","HR 1409","20889","ε Tau","Tau","From an abbreviation of the sci-A name ain al-thaur ""the Bull's Eye,"" for a Tau. Applied to ε Tau in recent times (Ptolemy had α Tau the southern eye, and ε  Tau on the northern eye).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Taurus","15/12/2015"
"Ainalrami","HR 7116","92761","ν1 Sgr","Sgr","","--","--","Sagittarius","05/09/2017"
"Aiolos","HD 95086","","","Car","Aiolos (Αίολος) was the Greek mythological keeper of the winds. In Homer’s Odyssey, Aiolos used an oxhide flask to capture all winds except for the western one, Zephyr. Zephyr then helped the sailboat of Ulysses navigate the seas towards home (Ithaca).","Greek","NEWC Greece: Greek Names related to winds, especially from Homer’s Odyssey and from the poem ""The Axion Esti"" (1959) by Greek poet Odysseas Elytis (1911-1996; winner of 1979 Nobel Prize for Literature).","","01/08/2023"
"Aladfar","HR 7298","94481","η Lyr","Lyr","","--","--","Lyra","05/09/2017"
"Alasia","HD 168746","90004","_ Ser","Ser","Alasia is the first historically recorded name of Cyprus, dating back to mid-fifteenth century BCE.","NEWC","2019 IAU100 NameExoWorlds","Serpens","17/12/2019"
"Albaldah","HR 7264","94141","π Sgr","Sgr","","--","--","Sagittarius","05/09/2017"
"Albali","HR 7950","102618","ε Aqr","Aqr","From the Arabic word bali(, ""swallower"", used in an Arabic discussion pertaining to the Arabic lunar mansion name sa(d bula( (given for ε, μ and ν Aqr; of unknown meaning). In recent times the Arabic article al- was added to bali( and the word was applied as a star name.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Aquarius","12/09/2016"
"Albireo","HR 7417","95947","α Cyg","Cyg","The formation of this name begins with Ptolemy's name for the constellation Cygnus - ὄρνις, ""the Bird"". The Arabs transliterated this name as urnis. The Medieval Latin translator of the Arabic Almagest, in turn, did not recognize any Greek word behind urnis (or whatever Arabic corruption he may have read), so he merely transliterated it into a form which appeared int he manuscripts variously as eurisim, eirisun, eirism, etc. In a note appended to this Medieval Latin constellation name for Cygnus, one Latin commentator ventured to derive it from the name of an aromatic herb he knew: ireus. This erroneous commentary read, in brief part: ""eirisim...ab ireo"", or, ""[the constellation name] eirisim...[coming] from [the word] ireus"". Apparently in one manuscript of the Latin Almagest, the final word of this commentary, ab ireo, were written on the next line below the constellation title, where the descriptions of the stars begin. Since the first star entered in the Almagest under the constellation Cygnus is β Cyg, the words ab ireo seem to have been confused as a name for this star. ""Arabicized"" with the insertion of the letter ""l"", ab ireo, written as ""Albireo"", was applied as a star name to β Cyg by Renaissance times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cygnus","20/07/2016"
"Alchiba","HR 4623","59199","α Crv","Crv","","--","--","Corvus","12/09/2016"
"Alcor","HR 5062","65477","80 UMa","UMa","Ultimately from the ind-A name al-jaun, for ε UMa, which was transliterated and eventually corrupted in Latin to ""Alcor."" The name was wrongly transferred to 80 UMa in Renaissance times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ursa Major","30/06/2016"
"Alcyone","HR 1165","17702","η Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Taurus","30/06/2016"
"Aldebaran","HR 1457","21421","α Tau","Tau","Applied in medieval times from its ind-A name al-dabaran, possibly meaning ""the Follower,"" alternatively used as the lunar mansion name for all the Hyades (or again for α Tau alone). The name is thought to refer to this star's following the Pleiades across the sky, or to the Hyades (or α Tau) coming after the Pleiades as a lunar mansion. ""Aldebaran"" is one of the oldest Arabic star names applied in the West, from the end of the 10th century A.D.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Taurus","30/06/2016"
"Alderamin","HR 8162","105199","α Cep","Cep","Applied to α Cep since medieval times. The derivation understood since Renaissance times was from al-dhira (al-)yamin, ""the Right Forearm,"" an assumed sci-A descriptive term for α Cep. But this is apparently erroneous. Firstly, in the Almagest, α Cep is described on the right ""shoulder"" (Arabic al-katif or al-mankib) of Cepheus, whereas no right ""forearm"" (al-dhira<) is described for the figure. Secondly, in Arabic, ""right forearm"" is spelled correctly as al-dhira al-yumna, which (in contrast to al-yamin) lacks assonance in the last syllable to Alderamin. Therefore, it is more likely that Alderamin is derived from the various medieval Western abbreviations of muqaddam al-dhira<ain, ""the Preceding One of the Two Cubits, or Forearms,"" which was a sci-A name (based on ind-A) for α Gem. This would have been wrongly transferred to α Cep in medieval times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cepheus","20/07/2016"
"Aldhanab","HR 8353","108085","γ Gru","Gru","","--","--","Grus","05/09/2017"
"Aldhibah","HR 6396","83895","ζ Dra","Dra","","--","--","Draco","05/09/2017"
"Aldulfin","HR 7852","101421","ε Del","Del","","--","--","Delphinus","05/09/2017"
"Alfirk","HR 8238","106032","β Cep","Cep","Applied in recent times from an abbreviation of the ind-A names kaukaba al-firq (for α and β Cep ), and kawakib al-firq (for α, β , and η Cep). kaukaba and kawakib mean ""two stars"" and ""stars"" (more than two), respectively, but the original Arabic script for al-firq can be vocalized in various ways with various meanings. If the vocalization al-firq is accepted, it means ""the Flock,"" and may refer to a flock of sheep here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cepheus","21/08/2016"
"Algedi","HR 7754","100064","α2 Cep","Cep","Reapplied in recent times (from its older medieval spelling), from the scientific Arabic constellation name al-jady, ""the Kid,"" for Capricornus.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cepheus","21/08/2016"
